Reg	County	DOT ID	Route	Co Rd	Name	From	To	Co Ordr	Beg	End	Length	Muni Code	Muni Type	Municipality	Jurisdiction	FC	UAC	NHS	Overlap #	Olap rank	HPMS	SH No	Lanes	Pvmnt	Divided	One Way	Pkwy	Grouped	Svce Rd	Disc	Station	AADT	AADT Yr
4	MONROE	100422	I490					2	24.14	24.4	0.26	2048	City	Rochester	01 NYSDOT	11	75664	1				60-6	8	A	Y						544	108200	1997
4	MONROE	100422	I490				WINTON RD	2	24.4	24.55	0.15	2048	City	Rochester	01 NYSDOT	11	75664	1				60-6	7	A	Y						544	108200	1997
4	MONROE	100444	NY590			RT 490I	RT 941V BLOSSOM RD UNDER	1	0	0.64	0.64	92	Town	Brighton	01 NYSDOT	12	75664	1				58-17	4	O	Y						120	109600	2001
4	MONROE	100422	I490			RT 531 EXIT 8		2	15.33	15.62	0.29	316	Town	Gates	01 NYSDOT	11	75664	1			3007318	61-6	4	O	Y						579	119200	2009
4	MONROE	100422	I490					2	15.62	15.74	0.12	316	Town	Gates	01 NYSDOT	11	75664	1				61-6	4	O	Y						579	119200	2009
4	MONROE	100422	I490				WEGMAN RD OVER NO CONN	2	15.74	16.16	0.42	316	Town	Gates	01 NYSDOT	11	75664	1				61-6	6	O	Y						579	119200	2009
4	MONROE	100422	I490			WEGMAN RD OVER NO CONN		2	16.16	17.22	1.06	316	Town	Gates	01 NYSDOT	11	75664	1				61-6	6	O	Y						579	119200	2009
4	MONROE	100422	I490					2	17.22	17.54	0.32	316	Town	Gates	01 NYSDOT	11	75664	1				60-13	7	O	Y						579	119200	2009
4	MONROE	100422	I490				RT 390I 390 OUTER LOOP - EXIT 9	2	17.54	17.81	0.27	316	Town	Gates	01 NYSDOT	11	75664	1				60-13	4	O	Y						579	119200	2009
4	MONROE	100358	I390			EXIT 17 RT 383	CITY OF ROCHESTER	3	16.13	16.51	0.38	160	Town	Chili	01 NYSDOT	11	75664	1			3007572	77-39	6	O	Y						25	134100	2009
4	MONROE	100358	I390			CITY OF ROCHESTER	ROCHESTER CL / GATES TL	3	16.51	16.63	0.12	2048	City	Rochester	01 NYSDOT	11	75664	1			3007572	62-14	6	O	Y						25	134100	2009
4	MONROE	100358	I390			ROCHESTER CL / GATES TL	CITY OF ROCHESTER	3	16.63	16.81	0.18	316	Town	Gates	01 NYSDOT	11	75664	1			3007572	62-14	6	O	Y						25	134100	2009
4	MONROE	100358	I390			CITY OF ROCHESTER	RT 204 - ROCHESTER CL / GATES TL	3	16.81	17.05	0.24	2048	City	Rochester	01 NYSDOT	11	75664	1			3007572	62-14	6	O	Y						25	134100	2009
